lot_id,product,line,lot_start_date,planned_release_date,disposition_date,status,batch_size_L,campaign_id
OCT1023,octanate,Line_A,2023-01-07,2023-01-14,2023-01-15,Released,675,CAMP_2023_01
OCT1024,octanate_LV,Line_C,2023-01-07,2023-01-21,2023-01-20,Released,1042,CAMP_2023_01
OCT1025,octanate_LV,Line_B,2023-01-08,2023-01-20,2023-01-21,Released,747,CAMP_2023_01
OCT1026,octanate_LV,Line_C,2023-01-08,2023-01-16,2023-01-17,Released,1705,CAMP_2023_01
FIB1027,fibryga,Line_A,2023-01-08,2023-01-16,2023-01-14,Released,968,CAMP_2023_01
FIB1028,fibryga,Line_B,2023-01-08,2023-01-15,2023-01-13,Released,1552,CAMP_2023_01
FIB1029,fibryga,Line_C,2023-01-08,2023-01-22,2023-01-23,Released,1981,CAMP_2023_01
OCT1030,octanate_LV,Line_C,2023-01-09,2023-01-17,2023-01-17,Released,1367,CAMP_2023_01
FIB1031,fibryga,Line_C,2023-01-09,2023-01-17,2023-01-25,Released,723,CAMP_2023_01
OCT1032,octanate,Line_A,2023-01-10,2023-01-20,2023-01-19,Released,1364,CAMP_2023_01
OCT1033,octanate,Line_B,2023-01-10,2023-01-24,2023-01-25,Released,1407,CAMP_2023_01
OCT1034,octanate_LV,Line_B,2023-01-10,2023-01-25,2023-01-23,Released,984,CAMP_2023_01
OCT1035,octanate_LV,Line_C,2023-01-10,2023-01-24,2023-01-25,Released,620,CAMP_2023_01
FIB1036,fibryga,Line_A,2023-01-10,2023-01-17,2023-01-17,Released,1431,CAMP_2023_01
FIB1037,fibryga,Line_B,2023-01-10,2023-01-25,2023-01-26,Released,817,CAMP_2023_01
FIB1038,fibryga,Line_C,2023-01-10,2023-01-20,2023-01-18,Released,1142,CAMP_2023_01
OCT1039,octanate,Line_A,2023-01-11,2023-01-27,2023-01-26,Released,616,CAMP_2023_01
OCT1040,octanate,Line_C,2023-01-11,2023-01-20,2023-01-24,Released,1882,CAMP_2023_01
FIB1041,fibryga,Line_C,2023-01-11,2023-01-19,2023-01-19,Released,1034,CAMP_2023_01
OCT1042,octanate,Line_A,2023-01-12,2023-01-24,2023-01-26,Released,768,CAMP_2023_01
OCT1043,octanate,Line_C,2023-01-12,2023-01-24,2023-01-22,Released,519,CAMP_2023_01
FIB1044,fibryga,Line_A,2023-01-12,2023-01-22,2023-01-21,Released,1214,CAMP_2023_01
OCT1045,octanate,Line_A,2023-01-13,2023-01-22,2023-01-22,Released,1752,CAMP_2023_01
FIB1046,fibryga,Line_B,2023-01-13,2023-01-22,2023-01-23,Released,1633,CAMP_2023_01
FIB1047,fibryga,Line_C,2023-01-13,2023-01-24,2023-01-24,Released,916,CAMP_2023_01
OCT1048,octanate_LV,Line_A,2023-01-14,2023-01-21,2023-01-30,Released,1066,CAMP_2023_01
OCT1049,octanate_LV,Line_B,2023-01-14,2023-01-26,2023-01-26,Released,830,CAMP_2023_01
FIB1050,fibryga,Line_C,2023-01-14,2023-01-22,2023-01-21,Released,1617,CAMP_2023_01
OCT1051,octanate,Line_A,2023-01-15,2023-01-27,2023-01-26,Released,1380,CAMP_2023_01
OCT1052,octanate,Line_B,2023-01-15,2023-01-26,2023-01-24,Released,1232,CAMP_2023_01
OCT1053,octanate,Line_C,2023-01-15,2023-01-25,2023-01-25,Released,1646,CAMP_2023_01
FIB1054,fibryga,Line_A,2023-01-15,2023-01-25,2023-01-24,Released,1344,CAMP_2023_01
FIB1055,fibryga,Line_B,2023-01-15,2023-01-27,2023-01-28,Released,1871,CAMP_2023_01
OCT1056,octanate,Line_B,2023-01-16,2023-01-24,2023-01-22,Released,1463,CAMP_2023_01
OCT1057,octanate,Line_C,2023-01-16,2023-01-30,2023-01-31,Released,956,CAMP_2023_01
OCT1058,octanate_LV,Line_A,2023-01-16,2023-01-26,2023-01-26,Released,642,CAMP_2023_01
OCT1059,octanate_LV,Line_C,2023-01-16,2023-01-31,2023-01-31,Released,556,CAMP_2023_01
FIB1060,fibryga,Line_A,2023-01-16,2023-01-27,2023-01-29,Released,578,CAMP_2023_01
FIB1061,fibryga,Line_B,2023-01-16,2023-01-29,2023-01-31,Released,1393,CAMP_2023_01
OCT1062,octanate,Line_B,2023-01-17,2023-02-02,2023-02-03,Released,1951,CAMP_2023_01
FIB1063,fibryga,Line_C,2023-01-17,2023-01-30,2023-02-07,Released,1776,CAMP_2023_01
OCT1064,octanate,Line_A,2023-01-18,2023-01-26,2023-01-26,Released,1538,CAMP_2023_01
OCT1065,octanate,Line_B,2023-01-18,2023-01-31,2023-02-02,Released,1635,CAMP_2023_01
OCT1066,octanate,Line_C,2023-01-18,2023-01-31,2023-02-01,Released,1887,CAMP_2023_01
OCT1067,octanate_LV,Line_B,2023-01-18,2023-02-03,2023-02-04,Released,1122,CAMP_2023_01
OCT1068,octanate_LV,Line_C,2023-01-18,2023-01-31,2023-01-31,Released,1452,CAMP_2023_01
OCT1069,octanate_LV,Line_B,2023-01-19,2023-02-04,2023-02-05,Released,1877,CAMP_2023_01
OCT1070,octanate_LV,Line_C,2023-01-19,2023-01-29,2023-02-01,Released,1001,CAMP_2023_01
OCT1071,octanate_LV,Line_B,2023-01-20,2023-02-02,2023-02-03,Released,718,CAMP_2023_01
FIB1072,fibryga,Line_A,2023-01-20,2023-02-04,2023-02-03,Released,748,CAMP_2023_01
OCT1073,octanate_LV,Line_B,2023-01-22,2023-02-01,2023-02-01,Released,1567,CAMP_2023_01
FIB1074,fibryga,Line_A,2023-01-22,2023-02-05,2023-02-12,Released,980,CAMP_2023_01
FIB1075,fibryga,Line_B,2023-01-22,2023-02-03,2023-02-01,Released,783,CAMP_2023_01
FIB1076,fibryga,Line_C,2023-01-22,2023-02-04,2023-02-03,Released,631,CAMP_2023_01
OCT1077,octanate,Line_B,2023-01-23,2023-02-06,2023-02-05,Released,1360,CAMP_2023_01
OCT1078,octanate,Line_C,2023-01-23,2023-02-08,2023-02-06,Released,1679,CAMP_2023_01
OCT1079,octanate_LV,Line_A,2023-01-23,2023-01-30,2023-01-30,Released,1298,CAMP_2023_01
OCT1080,octanate,Line_B,2023-01-24,2023-02-03,2023-02-05,Released,559,CAMP_2023_01
OCT1081,octanate,Line_C,2023-01-24,2023-02-06,2023-02-07,Released,761,CAMP_2023_01
FIB1082,fibryga,Line_C,2023-01-24,2023-02-06,2023-02-16,Released,872,CAMP_2023_01
OCT1083,octanate,Line_A,2023-01-25,2023-02-07,2023-02-09,Released,1169,CAMP_2023_01
OCT1084,octanate,Line_B,2023-01-25,2023-02-07,2023-02-09,Released,1016,CAMP_2023_01
OCT1085,octanate_LV,Line_C,2023-01-25,2023-02-06,2023-02-07,Released,1834,CAMP_2023_01
FIB1086,fibryga,Line_A,2023-01-25,2023-02-01,2023-01-31,Released,541,CAMP_2023_01
FIB1087,fibryga,Line_C,2023-01-25,2023-02-08,2023-02-07,Released,1452,CAMP_2023_01
OCT1088,octanate,Line_C,2023-01-26,2023-02-11,2023-02-09,Released,835,CAMP_2023_01
OCT1089,octanate_LV,Line_B,2023-01-26,2023-02-02,2023-02-03,Released,1312,CAMP_2023_01
FIB1090,fibryga,Line_A,2023-01-26,2023-02-11,2023-02-10,Released,708,CAMP_2023_01
FIB1091,fibryga,Line_C,2023-01-26,2023-02-11,2023-02-09,Released,1211,CAMP_2023_01
OCT1092,octanate,Line_C,2023-01-27,2023-02-08,2023-02-17,Released,1503,CAMP_2023_01
OCT1093,octanate_LV,Line_A,2023-01-27,2023-02-08,2023-02-09,Released,1948,CAMP_2023_01
OCT1094,octanate_LV,Line_B,2023-01-27,2023-02-05,2023-02-05,Released,1761,CAMP_2023_01
OCT1095,octanate,Line_B,2023-01-28,2023-02-07,2023-02-05,Released,1071,CAMP_2023_01
OCT1096,octanate_LV,Line_A,2023-01-28,2023-02-11,2023-02-12,Released,1188,CAMP_2023_01
OCT1097,octanate_LV,Line_B,2023-01-28,2023-02-09,2023-02-10,Released,1226,CAMP_2023_01
FIB1098,fibryga,Line_A,2023-01-28,2023-02-13,2023-02-13,Released,1638,CAMP_2023_01
FIB1099,fibryga,Line_B,2023-01-28,2023-02-07,2023-02-16,Released,1500,CAMP_2023_01
OCT1100,octanate,Line_A,2023-01-29,2023-02-12,2023-02-13,Released,1417,CAMP_2023_01
OCT1101,octanate,Line_C,2023-01-29,2023-02-08,2023-02-07,Released,1127,CAMP_2023_01
OCT1102,octanate_LV,Line_B,2023-01-29,2023-02-13,2023-02-14,Released,1627,CAMP_2023_01
OCT1103,octanate_LV,Line_C,2023-01-29,2023-02-12,2023-02-14,Released,972,CAMP_2023_01
FIB1104,fibryga,Line_A,2023-01-29,2023-02-08,2023-02-09,Released,892,CAMP_2023_01
FIB1105,fibryga,Line_B,2023-01-29,2023-02-12,2023-02-14,Released,705,CAMP_2023_01
OCT1106,octanate,Line_A,2023-01-30,2023-02-11,2023-02-12,Released,1950,CAMP_2023_01
OCT1107,octanate,Line_C,2023-01-30,2023-02-06,2023-02-05,Released,1806,CAMP_2023_01
OCT1108,octanate,Line_A,2023-01-31,2023-02-07,2023-02-09,Released,733,CAMP_2023_01
OCT1109,octanate_LV,Line_A,2023-01-31,2023-02-07,2023-02-09,Released,674,CAMP_2023_01
OCT1110,octanate_LV,Line_C,2023-01-31,2023-02-13,2023-02-12,Released,1570,CAMP_2023_01
FIB1111,fibryga,Line_A,2023-01-31,2023-02-14,2023-02-16,Released,1125,CAMP_2023_01
FIB1112,fibryga,Line_C,2023-01-31,2023-02-08,2023-02-07,Released,1781,CAMP_2023_01
OCT1113,octanate,Line_A,2023-02-01,2023-02-09,2023-02-10,Released,1630,CAMP_2023_02
OCT1114,octanate,Line_B,2023-02-01,2023-02-08,2023-02-09,Released,1096,CAMP_2023_02
OCT1115,octanate,Line_C,2023-02-01,2023-02-12,2023-02-13,Released,645,CAMP_2023_02
OCT1116,octanate_LV,Line_C,2023-02-02,2023-02-11,2023-02-11,Released,1399,CAMP_2023_02
FIB1117,fibryga,Line_A,2023-02-02,2023-02-13,2023-02-13,Released,1524,CAMP_2023_02
OCT1118,octanate_LV,Line_B,2023-02-03,2023-02-13,2023-02-11,Released,1876,CAMP_2023_02
FIB1119,fibryga,Line_C,2023-02-03,2023-02-18,2023-02-18,Released,871,CAMP_2023_02
FIB1120,fibryga,Line_A,2023-02-04,2023-02-12,2023-02-12,Released,1343,CAMP_2023_02
FIB1121,fibryga,Line_C,2023-02-04,2023-02-17,2023-02-15,Released,1431,CAMP_2023_02
OCT1122,octanate,Line_A,2023-02-05,2023-02-16,2023-02-18,Released,1553,CAMP_2023_02
OCT1123,octanate,Line_C,2023-02-05,2023-02-20,2023-02-18,Released,884,CAMP_2023_02
FIB1124,fibryga,Line_B,2023-02-05,2023-02-16,2023-02-16,Released,1397,CAMP_2023_02
OCT1125,octanate,Line_B,2023-02-06,2023-02-22,2023-02-21,Released,1136,CAMP_2023_02
OCT1126,octanate_LV,Line_B,2023-02-06,2023-02-14,2023-02-12,Released,1826,CAMP_2023_02
OCT1127,octanate,Line_A,2023-02-07,2023-02-21,2023-02-20,Released,1435,CAMP_2023_02
OCT1128,octanate,Line_C,2023-02-07,2023-02-23,2023-02-22,Released,642,CAMP_2023_02
OCT1129,octanate_LV,Line_A,2023-02-07,2023-02-20,2023-02-22,Released,505,CAMP_2023_02
OCT1130,octanate_LV,Line_B,2023-02-07,2023-02-18,2023-02-19,Released,804,CAMP_2023_02
FIB1131,fibryga,Line_B,2023-02-07,2023-02-22,2023-02-22,Released,886,CAMP_2023_02
OCT1132,octanate,Line_A,2023-02-08,2023-02-21,2023-02-23,Released,589,CAMP_2023_02
OCT1133,octanate,Line_B,2023-02-08,2023-02-22,2023-02-23,Released,1290,CAMP_2023_02
OCT1134,octanate_LV,Line_C,2023-02-08,2023-02-15,2023-02-23,Released,705,CAMP_2023_02
OCT1135,octanate_LV,Line_B,2023-02-09,2023-02-23,2023-02-23,Released,1193,CAMP_2023_02
FIB1136,fibryga,Line_A,2023-02-09,2023-02-17,2023-02-18,Released,1148,CAMP_2023_02
OCT1137,octanate_LV,Line_A,2023-02-10,2023-02-21,2023-02-19,Released,1388,CAMP_2023_02
FIB1138,fibryga,Line_B,2023-02-10,2023-02-19,2023-02-17,Released,594,CAMP_2023_02
FIB1139,fibryga,Line_C,2023-02-10,2023-02-17,2023-02-19,Released,1382,CAMP_2023_02
OCT1140,octanate,Line_A,2023-02-11,2023-02-26,2023-02-25,Released,848,CAMP_2023_02
OCT1141,octanate,Line_B,2023-02-11,2023-02-27,2023-02-26,Released,1519,CAMP_2023_02
OCT1142,octanate_LV,Line_A,2023-02-11,2023-02-25,2023-02-26,Released,1022,CAMP_2023_02
FIB1143,fibryga,Line_B,2023-02-11,2023-02-26,2023-02-28,Released,1207,CAMP_2023_02
OCT1144,octanate,Line_A,2023-02-12,2023-02-25,2023-02-26,Released,1118,CAMP_2023_02
OCT1145,octanate,Line_B,2023-02-12,2023-02-25,2023-02-23,Released,985,CAMP_2023_02
OCT1146,octanate,Line_C,2023-02-12,2023-02-24,2023-02-24,Released,544,CAMP_2023_02
OCT1147,octanate_LV,Line_C,2023-02-12,2023-02-28,2023-02-26,Released,1741,CAMP_2023_02
OCT1148,octanate,Line_B,2023-02-13,2023-02-25,2023-02-26,Released,1771,CAMP_2023_02
OCT1149,octanate,Line_C,2023-02-13,2023-02-22,2023-02-20,Released,1132,CAMP_2023_02
OCT1150,octanate_LV,Line_B,2023-02-13,2023-02-25,2023-02-23,Released,1104,CAMP_2023_02
OCT1151,octanate_LV,Line_C,2023-02-13,2023-02-26,2023-02-27,Released,1604,CAMP_2023_02
FIB1152,fibryga,Line_B,2023-02-13,2023-02-28,2023-02-27,Released,1026,CAMP_2023_02
OCT1153,octanate,Line_C,2023-02-14,2023-02-26,2023-02-27,Released,654,CAMP_2023_02
OCT1154,octanate_LV,Line_A,2023-02-14,2023-02-24,2023-02-25,Released,1641,CAMP_2023_02
OCT1155,octanate_LV,Line_B,2023-02-14,2023-02-27,2023-03-03,Released,1431,CAMP_2023_02
OCT1156,octanate_LV,Line_C,2023-02-14,2023-02-25,2023-02-25,Released,721,CAMP_2023_02
OCT1157,octanate,Line_B,2023-02-15,2023-03-03,2023-03-04,Released,1801,CAMP_2023_02
OCT1158,octanate_LV,Line_B,2023-02-15,2023-02-28,2023-03-03,Released,576,CAMP_2023_02
OCT1159,octanate_LV,Line_C,2023-02-15,2023-03-01,2023-03-07,Released,1600,CAMP_2023_02
FIB1160,fibryga,Line_A,2023-02-15,2023-03-01,2023-03-02,Released,1702,CAMP_2023_02
FIB1161,fibryga,Line_C,2023-02-15,2023-02-28,2023-03-01,Released,1760,CAMP_2023_02
OCT1162,octanate,Line_C,2023-02-16,2023-02-28,2023-03-02,Released,983,CAMP_2023_02
OCT1163,octanate_LV,Line_B,2023-02-16,2023-02-28,2023-02-28,Released,624,CAMP_2023_02
OCT1164,octanate_LV,Line_C,2023-02-16,2023-02-26,2023-02-27,Released,687,CAMP_2023_02
OCT1165,octanate,Line_A,2023-02-17,2023-03-01,2023-03-02,Released,1656,CAMP_2023_02
OCT1166,octanate,Line_B,2023-02-17,2023-03-04,2023-03-05,Released,977,CAMP_2023_02
OCT1167,octanate,Line_C,2023-02-17,2023-02-26,2023-02-24,Released,1067,CAMP_2023_02
OCT1168,octanate_LV,Line_B,2023-02-17,2023-02-26,2023-02-25,Released,725,CAMP_2023_02
FIB1169,fibryga,Line_A,2023-02-17,2023-02-24,2023-02-23,Released,1705,CAMP_2023_02
FIB1170,fibryga,Line_B,2023-02-17,2023-02-26,2023-02-27,Released,1362,CAMP_2023_02
OCT1171,octanate_LV,Line_B,2023-02-18,2023-03-05,2023-03-06,Released,1989,CAMP_2023_02
OCT1172,octanate,Line_B,2023-02-19,2023-03-05,2023-03-06,Released,1905,CAMP_2023_02
OCT1173,octanate,Line_C,2023-02-19,2023-03-05,2023-03-09,Released,1159,CAMP_2023_02
OCT1174,octanate_LV,Line_B,2023-02-19,2023-03-02,2023-03-02,Released,1280,CAMP_2023_02
OCT1175,octanate,Line_A,2023-02-20,2023-02-28,2023-02-27,Released,1380,CAMP_2023_02
OCT1176,octanate,Line_C,2023-02-20,2023-03-04,2023-03-05,Released,1351,CAMP_2023_02
OCT1177,octanate_LV,Line_B,2023-02-20,2023-03-04,2023-03-04,Released,812,CAMP_2023_02
FIB1178,fibryga,Line_B,2023-02-20,2023-02-28,2023-03-04,Released,1263,CAMP_2023_02
OCT1179,octanate_LV,Line_A,2023-02-21,2023-03-01,2023-03-02,Released,1976,CAMP_2023_02
OCT1180,octanate_LV,Line_B,2023-02-21,2023-03-04,2023-03-04,Released,712,CAMP_2023_02
FIB1181,fibryga,Line_A,2023-02-21,2023-03-07,2023-03-08,Released,1217,CAMP_2023_02
FIB1182,fibryga,Line_C,2023-02-21,2023-03-04,2023-03-05,Released,1648,CAMP_2023_02
OCT1183,octanate_LV,Line_B,2023-02-22,2023-03-05,2023-03-12,Released,1939,CAMP_2023_02
FIB1184,fibryga,Line_B,2023-02-22,2023-03-03,2023-03-04,Released,642,CAMP_2023_02
FIB1185,fibryga,Line_C,2023-02-22,2023-03-01,2023-03-07,Released,1270,CAMP_2023_02
OCT1186,octanate,Line_B,2023-02-23,2023-03-07,2023-03-09,Released,1662,CAMP_2023_02
OCT1187,octanate_LV,Line_B,2023-02-23,2023-03-11,2023-03-15,Released,1057,CAMP_2023_02
OCT1188,octanate,Line_A,2023-02-24,2023-03-11,2023-03-20,Released,727,CAMP_2023_02
OCT1189,octanate,Line_B,2023-02-24,2023-03-12,2023-03-12,Released,593,CAMP_2023_02
OCT1190,octanate,Line_C,2023-02-24,2023-03-12,2023-03-18,Released,1117,CAMP_2023_02
FIB1191,fibryga,Line_A,2023-02-24,2023-03-04,2023-03-13,Released,859,CAMP_2023_02
FIB1192,fibryga,Line_B,2023-02-24,2023-03-11,2023-03-11,Released,647,CAMP_2023_02
FIB1193,fibryga,Line_C,2023-02-24,2023-03-03,2023-03-04,Released,659,CAMP_2023_02
OCT1194,octanate_LV,Line_C,2023-02-25,2023-03-04,2023-03-03,Released,1765,CAMP_2023_02
FIB1195,fibryga,Line_C,2023-02-25,2023-03-10,2023-03-09,Released,1392,CAMP_2023_02
OCT1196,octanate,Line_C,2023-02-26,2023-03-09,2023-03-08,Released,1182,CAMP_2023_02
OCT1197,octanate_LV,Line_B,2023-02-26,2023-03-06,2023-03-05,Released,1215,CAMP_2023_02
OCT1198,octanate_LV,Line_C,2023-02-26,2023-03-07,2023-03-08,Released,1024,CAMP_2023_02
FIB1199,fibryga,Line_A,2023-02-26,2023-03-14,2023-03-15,Released,862,CAMP_2023_02
FIB1200,fibryga,Line_B,2023-02-27,2023-03-11,2023-03-12,Released,1460,CAMP_2023_02
OCT1201,octanate,Line_A,2023-02-28,2023-03-11,2023-03-11,Released,1539,CAMP_2023_02
OCT1202,octanate,Line_B,2023-02-28,2023-03-14,2023-03-12,Released,1255,CAMP_2023_02
OCT1203,octanate_LV,Line_A,2023-02-28,2023-03-08,2023-03-09,Released,1447,CAMP_2023_02
FIB1204,fibryga,Line_B,2023-02-28,2023-03-16,2023-03-16,Released,1739,CAMP_2023_02
OCT1205,octanate,Line_A,2023-03-01,2023-03-08,2023-03-08,Released,1962,CAMP_2023_03
OCT1206,octanate,Line_B,2023-03-01,2023-03-10,2023-03-20,Released,1399,CAMP_2023_03
OCT1207,octanate_LV,Line_B,2023-03-01,2023-03-12,2023-03-12,Released,1890,CAMP_2023_03
FIB1208,fibryga,Line_C,2023-03-01,2023-03-09,2023-03-10,Released,1081,CAMP_2023_03
OCT1209,octanate,Line_A,2023-03-02,2023-03-18,2023-03-18,Released,666,CAMP_2023_03
OCT1210,octanate,Line_C,2023-03-02,2023-03-14,2023-03-16,Released,764,CAMP_2023_03
OCT1211,octanate_LV,Line_C,2023-03-02,2023-03-15,2023-03-15,Released,761,CAMP_2023_03
OCT1212,octanate_LV,Line_B,2023-03-03,2023-03-15,2023-03-16,Released,1199,CAMP_2023_03
FIB1213,fibryga,Line_B,2023-03-03,2023-03-12,2023-03-14,Released,707,CAMP_2023_03
FIB1214,fibryga,Line_B,2023-03-04,2023-03-13,2023-03-12,Released,1976,CAMP_2023_03
OCT1215,octanate,Line_C,2023-03-05,2023-03-19,2023-03-20,Released,979,CAMP_2023_03
OCT1216,octanate_LV,Line_B,2023-03-05,2023-03-19,2023-03-18,Released,1253,CAMP_2023_03
OCT1217,octanate_LV,Line_A,2023-03-06,2023-03-16,2023-03-15,Released,1012,CAMP_2023_03
OCT1218,octanate_LV,Line_B,2023-03-06,2023-03-20,2023-03-18,Released,1956,CAMP_2023_03
FIB1219,fibryga,Line_B,2023-03-06,2023-03-15,2023-03-16,Released,1395,CAMP_2023_03
FIB1220,fibryga,Line_C,2023-03-06,2023-03-16,2023-03-16,Released,554,CAMP_2023_03
OCT1221,octanate,Line_B,2023-03-07,2023-03-19,2023-03-20,Released,1267,CAMP_2023_03
OCT1222,octanate,Line_C,2023-03-07,2023-03-19,2023-03-19,Released,799,CAMP_2023_03
OCT1223,octanate_LV,Line_A,2023-03-07,2023-03-18,2023-03-19,Released,1925,CAMP_2023_03
OCT1224,octanate,Line_A,2023-03-08,2023-03-18,2023-03-19,Released,727,CAMP_2023_03
OCT1225,octanate,Line_C,2023-03-08,2023-03-16,2023-03-25,Released,1808,CAMP_2023_03
OCT1226,octanate_LV,Line_C,2023-03-08,2023-03-22,2023-03-20,Released,1794,CAMP_2023_03
FIB1227,fibryga,Line_B,2023-03-08,2023-03-17,2023-03-18,Released,1759,CAMP_2023_03
FIB1228,fibryga,Line_C,2023-03-08,2023-03-24,2023-03-22,Released,1572,CAMP_2023_03
OCT1229,octanate,Line_B,2023-03-09,2023-03-24,2023-03-22,Released,1299,CAMP_2023_03
OCT1230,octanate_LV,Line_A,2023-03-09,2023-03-22,2023-03-22,Released,533,CAMP_2023_03
OCT1231,octanate_LV,Line_B,2023-03-09,2023-03-17,2023-03-18,Released,1691,CAMP_2023_03
FIB1232,fibryga,Line_A,2023-03-09,2023-03-16,2023-03-16,Released,1816,CAMP_2023_03
FIB1233,fibryga,Line_B,2023-03-09,2023-03-23,2023-03-24,Released,1793,CAMP_2023_03
FIB1234,fibryga,Line_C,2023-03-09,2023-03-18,2023-03-28,Released,575,CAMP_2023_03
OCT1235,octanate,Line_A,2023-03-10,2023-03-17,2023-03-15,Released,1146,CAMP_2023_03
OCT1236,octanate_LV,Line_C,2023-03-10,2023-03-20,2023-03-21,Released,1842,CAMP_2023_03
FIB1237,fibryga,Line_A,2023-03-10,2023-03-18,2023-03-19,Released,1319,CAMP_2023_03
OCT1238,octanate,Line_A,2023-03-11,2023-03-20,2023-03-21,Released,1252,CAMP_2023_03
OCT1239,octanate_LV,Line_C,2023-03-11,2023-03-27,2023-03-26,Released,1617,CAMP_2023_03
FIB1240,fibryga,Line_A,2023-03-11,2023-03-19,2023-03-26,Released,1127,CAMP_2023_03
OCT1241,octanate,Line_A,2023-03-12,2023-03-26,2023-03-24,Released,1988,CAMP_2023_03
OCT1242,octanate,Line_C,2023-03-12,2023-03-25,2023-03-26,Released,653,CAMP_2023_03
FIB1243,fibryga,Line_B,2023-03-12,2023-03-19,2023-03-29,Released,571,CAMP_2023_03
FIB1244,fibryga,Line_C,2023-03-12,2023-03-22,2023-03-22,Released,1241,CAMP_2023_03
OCT1245,octanate,Line_A,2023-03-13,2023-03-29,2023-04-03,Released,1890,CAMP_2023_03
OCT1246,octanate,Line_C,2023-03-13,2023-03-27,2023-03-26,Released,1584,CAMP_2023_03
OCT1247,octanate_LV,Line_A,2023-03-13,2023-03-25,2023-03-24,Released,732,CAMP_2023_03
OCT1248,octanate_LV,Line_B,2023-03-13,2023-03-22,2023-03-23,Released,1650,CAMP_2023_03
OCT1249,octanate_LV,Line_C,2023-03-13,2023-03-24,2023-03-23,Released,1753,CAMP_2023_03
FIB1250,fibryga,Line_A,2023-03-13,2023-03-27,2023-03-28,Released,651,CAMP_2023_03
OCT1251,octanate,Line_B,2023-03-14,2023-03-26,2023-03-24,Released,1626,CAMP_2023_03
OCT1252,octanate,Line_B,2023-03-15,2023-03-25,2023-03-16,Rejected,1511,CAMP_2023_03
OCT1253,octanate,Line_C,2023-03-15,2023-03-30,2023-03-31,Released,1629,CAMP_2023_03
OCT1254,octanate_LV,Line_A,2023-03-15,2023-03-23,2023-04-01,Released,1968,CAMP_2023_03
FIB1255,fibryga,Line_C,2023-03-15,2023-03-27,2023-03-28,Released,1454,CAMP_2023_03
OCT1256,octanate,Line_B,2023-03-16,2023-03-31,2023-03-30,Released,764,CAMP_2023_03
OCT1257,octanate_LV,Line_B,2023-03-16,2023-03-24,2023-03-24,Released,837,CAMP_2023_03
OCT1258,octanate_LV,Line_C,2023-03-16,2023-03-26,2023-03-28,Released,661,CAMP_2023_03
FIB1259,fibryga,Line_A,2023-03-16,2023-03-31,2023-04-02,Released,1758,CAMP_2023_03
OCT1260,octanate,Line_A,2023-03-17,2023-04-02,2023-04-04,Released,1654,CAMP_2023_03
OCT1261,octanate,Line_B,2023-03-17,2023-03-24,2023-03-31,Released,1833,CAMP_2023_03
