deviation_id,lot_id,category,severity,description,opened_at,closed_at,capa_flag,assignee,root_cause
DEV00001,OCT1025,OOS_Result,Minor,"OOS result: assay_percent = 91.8066 % (LSL:95.0, USL:110.0)",2023-01-09 14:00:00,2023-01-24 14:00:00,1,QA_Invest_2,Method
DEV00001,FIB1028,OOS_Result,Major,"OOS result: assay_percent = 83.5744 % (LSL:95.0, USL:110.0)",2023-01-10 13:00:00,2023-04-05 13:00:00,1,QA_Manager,Equipment
DEV00001,FIB1029,OOS_Result,Minor,"OOS result: protein_mg_ml = 11.5822 mg/ml (LSL:7.0, USL:10.0)",2023-01-10 16:00:00,2023-01-31 16:00:00,0,QA_Manager,Personnel
DEV00001,FIB1061,OOS_Result,Critical,"OOS result: osmolality_mOsm_kg = 269.565 mOsm/kg (LSL:270.0, USL:320.0)",2023-01-20 18:00:00,2023-02-25 18:00:00,1,QA_Invest_3,Method
DEV00001,OCT1064,OOS_Result,Minor,"OOS result: protein_mg_ml = 4.3377 mg/ml (LSL:7.0, USL:10.0)",2023-01-20 05:00:00,2023-02-03 05:00:00,0,QA_Manager,Method
DEV00001,OCT1066,OOS_Result,Major,"OOS result: protein_mg_ml = 13.5926 mg/ml (LSL:7.0, USL:10.0)",2023-01-20 14:00:00,2023-02-10 14:00:00,1,QA_Invest_3,Under_Investigation
DEV00001,OCT1067,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 263.0468 mOsm/kg (LSL:270.0, USL:320.0)",2023-01-21 14:00:00,2023-02-26 14:00:00,1,QA_Invest_1,Method
DEV00001,OCT1068,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 327.6164 mOsm/kg (LSL:270.0, USL:320.0)",2023-01-21 04:00:00,2023-03-16 04:00:00,1,QA_Invest_1,Environment
DEV00001,FIB1074,OOS_Result,Minor,"OOS result: fill_volume_ml = 10.8091 ml (LSL:9.5, USL:10.5)",2023-01-24 15:00:00,2023-02-19 15:00:00,1,QA_Invest_2,Method
DEV00001,OCT1080,OOS_Result,Minor,"OOS result: protein_mg_ml = 6.8695 mg/ml (LSL:7.0, USL:10.0)",2023-01-27 08:00:00,2023-04-03 08:00:00,1,QA_Invest_3,Method
DEV00001,OCT1088,OOS_Result,Critical,"OOS result: protein_mg_ml = 10.0056 mg/ml (LSL:7.0, USL:10.0)",2023-01-27 23:00:00,2023-03-17 23:00:00,1,MSAT_Lead,Equipment
DEV00001,OCT1092,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 258.3072 mOsm/kg (LSL:270.0, USL:320.0)",2023-01-30 19:00:00,2023-04-09 19:00:00,1,QA_Manager,Under_Investigation
DEV00001,OCT1095,OOS_Result,Critical,"OOS result: protein_mg_ml = 6.8413 mg/ml (LSL:7.0, USL:10.0)",2023-02-01 02:00:00,2023-04-13 02:00:00,1,QA_Invest_1,Personnel
DEV00001,OCT1100,OOS_Result,Major,"OOS result: fill_volume_ml = 8.7804 ml (LSL:9.5, USL:10.5)",2023-01-29 19:00:00,2023-03-26 19:00:00,1,QA_Invest_3,Environment
DEV00001,OCT1100,OOS_Result,Major,"OOS result: endotoxin_eu_ml = 0.5701 EU/ml (LSL:0.0, USL:0.5)",2023-02-01 05:00:00,2023-04-13 05:00:00,1,QA_Invest_3,Equipment
DEV00001,OCT1103,OOS_Result,Major,"OOS result: pH = 6.6437 pH (LSL:6.9, USL:7.4)",2023-01-30 10:00:00,2023-03-21 10:00:00,1,QA_Manager,Environment
DEV00001,OCT1107,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.6059 mg/ml (LSL:7.0, USL:10.0)",2023-02-01 19:00:00,2023-03-31 19:00:00,0,QA_Manager,Method
DEV00001,OCT1108,OOS_Result,Critical,"OOS result: protein_mg_ml = 10.5481 mg/ml (LSL:7.0, USL:10.0)",2023-02-03 00:00:00,2023-03-16 00:00:00,1,QA_Invest_3,Personnel
DEV00001,OCT1129,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.2306 mg/ml (LSL:7.0, USL:10.0)",2023-02-08 06:00:00,2023-04-03 06:00:00,1,QA_Manager,Personnel
DEV00001,OCT1133,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 266.1143 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-11 06:00:00,2023-03-12 06:00:00,1,QA_Invest_3,Material
DEV00001,OCT1135,OOS_Result,Major,"OOS result: particulates_per_ml = 64.069 count/ml (LSL:0.0, USL:50.0)",2023-02-13 05:00:00,2023-03-23 05:00:00,1,QA_Invest_3,Method
DEV00001,FIB1139,OOS_Result,Critical,"OOS result: osmolality_mOsm_kg = 269.8255 mOsm/kg (LSL:270.0, USL:320.0)",2025-07-21 17:55:35,,1,QA_Invest_3,Under_Investigation
DEV00001,OCT1140,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 187.9299 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-13 13:00:00,2023-04-05 13:00:00,1,QA_Manager,Environment
DEV00001,OCT1144,OOS_Result,Minor,"OOS result: pH = 6.7092 pH (LSL:6.9, USL:7.4)",2023-02-13 14:00:00,2023-03-25 14:00:00,0,QA_Manager,Material
DEV00001,OCT1147,OOS_Result,Minor,"OOS result: protein_mg_ml = 3.4968 mg/ml (LSL:7.0, USL:10.0)",2023-02-16 01:00:00,2023-04-14 01:00:00,1,QA_Manager,Method
DEV00001,OCT1149,OOS_Result,Major,"OOS result: particulates_per_ml = 70.5686 count/ml (LSL:0.0, USL:50.0)",2023-02-16 11:00:00,2023-05-07 11:00:00,1,QA_Invest_3,Personnel
DEV00001,FIB1152,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 372.4065 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-16 02:00:00,2023-04-28 02:00:00,1,QA_Invest_1,Personnel
DEV00001,OCT1156,OOS_Result,Major,"OOS result: fill_volume_ml = 9.1868 ml (LSL:9.5, USL:10.5)",2023-02-16 14:00:00,2023-03-23 14:00:00,1,MSAT_Lead,Personnel
DEV00001,OCT1157,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 257.7449 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-18 08:00:00,2023-04-17 08:00:00,1,QA_Invest_3,Under_Investigation
DEV00001,FIB1161,OOS_Result,Major,"OOS result: particulates_per_ml = 76.8373 count/ml (LSL:0.0, USL:50.0)",2023-02-17 08:00:00,2023-05-07 08:00:00,1,MSAT_Lead,Material
DEV00001,OCT1165,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.3328 mg/ml (LSL:7.0, USL:10.0)",2023-02-20 18:00:00,2023-04-26 18:00:00,1,QA_Manager,Equipment
DEV00001,FIB1170,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 228.5477 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-21 05:00:00,2023-05-21 05:00:00,0,QA_Invest_1,Environment
DEV00001,OCT1173,OOS_Result,Minor,"OOS result: assay_percent = 88.0498 % (LSL:95.0, USL:110.0)",2023-02-20 12:00:00,2023-04-02 12:00:00,1,QA_Invest_1,Method
DEV00001,FIB1178,OOS_Result,Critical,"OOS result: protein_mg_ml = 6.905 mg/ml (LSL:7.0, USL:10.0)",2023-02-24 21:00:00,2023-04-22 21:00:00,1,QA_Invest_3,Method
DEV00001,FIB1182,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 320.332 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-23 17:00:00,2023-05-24 17:00:00,1,QA_Invest_3,Material
DEV00001,FIB1182,OOS_Result,Minor,"OOS result: fill_volume_ml = 9.035 ml (LSL:9.5, USL:10.5)",2023-02-23 06:00:00,2023-05-18 06:00:00,0,QA_Invest_3,Method
DEV00001,OCT1189,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 268.7944 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-28 15:00:00,2023-05-09 15:00:00,1,QA_Invest_2,Under_Investigation
DEV00001,FIB1192,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 261.8529 mOsm/kg (LSL:270.0, USL:320.0)",2023-02-26 18:00:00,2023-04-04 18:00:00,1,QA_Invest_3,Personnel
DEV00001,OCT1196,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 235.9508 mOsm/kg (LSL:270.0, USL:320.0)",2023-03-01 11:00:00,2023-03-29 11:00:00,0,QA_Manager,Personnel
DEV00001,OCT1198,OOS_Result,Major,"OOS result: protein_mg_ml = 10.1107 mg/ml (LSL:7.0, USL:10.0)",2023-02-28 18:00:00,2023-05-04 18:00:00,1,QA_Invest_1,Material
DEV00001,OCT1201,OOS_Result,Major,"OOS result: protein_mg_ml = 10.232 mg/ml (LSL:7.0, USL:10.0)",2023-03-02 04:00:00,2023-03-18 04:00:00,1,QA_Manager,Material
DEV00001,FIB1219,OOS_Result,Critical,"OOS result: protein_mg_ml = 6.2022 mg/ml (LSL:7.0, USL:10.0)",2023-03-09 14:00:00,2023-05-11 14:00:00,1,QA_Invest_3,Environment
DEV00001,OCT1225,OOS_Result,Minor,"OOS result: particulates_per_ml = 53.3338 count/ml (LSL:0.0, USL:50.0)",2023-03-11 11:00:00,2023-04-15 11:00:00,1,QA_Invest_3,Method
DEV00001,FIB1227,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 259.9438 mOsm/kg (LSL:270.0, USL:320.0)",2023-03-10 18:00:00,2023-04-28 18:00:00,0,QA_Invest_2,Method
DEV00001,OCT1231,OOS_Result,Major,"OOS result: assay_percent = 121.0841 % (LSL:95.0, USL:110.0)",2023-03-10 00:00:00,2023-03-30 00:00:00,1,QA_Invest_1,Equipment
DEV00001,OCT1231,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 380.0124 mOsm/kg (LSL:270.0, USL:320.0)",2023-03-11 08:00:00,2023-04-13 08:00:00,0,QA_Invest_1,Personnel
DEV00001,FIB1234,OOS_Result,Major,"OOS result: pH = 7.6469 pH (LSL:6.9, USL:7.4)",2023-03-10 16:00:00,2023-05-01 16:00:00,1,MSAT_Lead,Environment
DEV00001,OCT1235,OOS_Result,Minor,"OOS result: protein_mg_ml = 13.6822 mg/ml (LSL:7.0, USL:10.0)",2023-03-13 09:00:00,2023-06-11 09:00:00,0,QA_Invest_1,Under_Investigation
DEV00001,FIB1243,OOS_Result,Major,"OOS result: protein_mg_ml = 10.0199 mg/ml (LSL:7.0, USL:10.0)",2023-03-15 10:00:00,2023-05-11 10:00:00,1,QA_Manager,Environment
DEV00001,FIB1250,OOS_Result,Major,"OOS result: assay_percent = 94.9309 % (LSL:95.0, USL:110.0)",2023-03-14 22:00:00,2023-05-08 22:00:00,1,QA_Manager,Personnel
DEV00001,OCT1252,OOS_Result,Critical,"OOS result: pH = 7.4064 pH (LSL:6.9, USL:7.4)",2025-08-01 17:55:35,,1,MSAT_Lead,Under_Investigation
DEV00001,OCT1252,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 321.0513 mOsm/kg (LSL:270.0, USL:320.0)",2023-03-18 20:00:00,2023-06-12 20:00:00,0,MSAT_Lead,Method
DEV00001,OCT1264,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 211.9911 mOsm/kg (LSL:270.0, USL:320.0)",2023-03-20 02:00:00,2023-05-19 02:00:00,0,QA_Invest_2,Material
DEV00001,OCT1265,OOS_Result,Major,"OOS result: assay_percent = 88.7638 % (LSL:95.0, USL:110.0)",2023-03-20 21:00:00,2023-04-17 21:00:00,1,QA_Invest_2,Under_Investigation
DEV00001,OCT1268,OOS_Result,Minor,"OOS result: endotoxin_eu_ml = 0.5413 EU/ml (LSL:0.0, USL:0.5)",2023-03-21 03:00:00,2023-04-07 03:00:00,0,QA_Invest_3,Personnel
DEV00001,OCT1274,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.1593 mg/ml (LSL:7.0, USL:10.0)",2023-03-23 15:00:00,2023-06-10 15:00:00,1,QA_Invest_2,Equipment
DEV00001,OCT1276,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 326.7321 mOsm/kg (LSL:270.0, USL:320.0)",2023-03-22 22:00:00,2023-04-13 22:00:00,1,QA_Manager,Material
DEV00001,OCT1279,OOS_Result,Minor,"OOS result: particulates_per_ml = 50.102 count/ml (LSL:0.0, USL:50.0)",2023-03-25 19:00:00,2023-05-12 19:00:00,0,QA_Invest_1,Environment
DEV00001,OCT1302,OOS_Result,Major,"OOS result: protein_mg_ml = 10.4301 mg/ml (LSL:7.0, USL:10.0)",2023-03-31 03:00:00,2023-05-11 03:00:00,1,QA_Invest_1,Method
DEV00001,OCT1313,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 202.0922 mOsm/kg (LSL:270.0, USL:320.0)",2023-04-05 05:00:00,2023-06-26 05:00:00,1,QA_Invest_2,Equipment
DEV00001,OCT1313,OOS_Result,Major,"OOS result: fill_volume_ml = 9.0941 ml (LSL:9.5, USL:10.5)",2023-04-03 04:00:00,2023-05-31 04:00:00,1,QA_Invest_2,Environment
DEV00001,OCT1316,OOS_Result,Major,"OOS result: protein_mg_ml = 10.1798 mg/ml (LSL:7.0, USL:10.0)",2023-04-06 08:00:00,2023-05-28 08:00:00,1,QA_Invest_2,Method
DEV00001,OCT1318,OOS_Result,Minor,"OOS result: protein_mg_ml = 6.9239 mg/ml (LSL:7.0, USL:10.0)",2023-04-04 14:00:00,2023-06-27 14:00:00,1,QA_Manager,Material
DEV00001,OCT1320,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 321.2173 mOsm/kg (LSL:270.0, USL:320.0)",2023-04-07 16:00:00,2023-06-12 16:00:00,1,QA_Manager,Environment
DEV00001,OCT1321,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 399.3057 mOsm/kg (LSL:270.0, USL:320.0)",2023-04-08 01:00:00,2023-06-20 01:00:00,1,QA_Invest_2,Material
DEV00001,FIB1323,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 363.1591 mOsm/kg (LSL:270.0, USL:320.0)",2023-04-07 11:00:00,2023-05-13 11:00:00,1,MSAT_Lead,Under_Investigation
DEV00001,OCT1327,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 366.8659 mOsm/kg (LSL:270.0, USL:320.0)",2023-04-08 14:00:00,2023-04-28 14:00:00,1,QA_Invest_1,Material
DEV00001,FIB1329,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 334.819 mOsm/kg (LSL:270.0, USL:320.0)",2023-04-06 23:00:00,2023-05-10 23:00:00,1,QA_Manager,Personnel
DEV00001,OCT1330,OOS_Result,Minor,"OOS result: pH = 7.8729 pH (LSL:6.9, USL:7.4)",2023-04-06 11:00:00,2023-06-27 11:00:00,0,MSAT_Lead,Material
DEV00001,FIB1334,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 243.7687 mOsm/kg (LSL:270.0, USL:320.0)",2025-07-18 17:55:35,,1,QA_Manager,Under_Investigation
DEV00001,FIB1334,OOS_Result,Major,"OOS result: protein_mg_ml = 6.7773 mg/ml (LSL:7.0, USL:10.0)",2023-04-09 04:00:00,2023-06-15 04:00:00,1,QA_Invest_3,Material
DEV00001,OCT1336,OOS_Result,Minor,"OOS result: protein_mg_ml = 2.6538 mg/ml (LSL:7.0, USL:10.0)",2023-04-10 08:00:00,2023-05-21 08:00:00,1,QA_Invest_2,Equipment
DEV00001,OCT1341,OOS_Result,Major,"OOS result: pH = 6.7979 pH (LSL:6.9, USL:7.4)",2023-04-10 11:00:00,2023-05-06 11:00:00,1,QA_Invest_3,Under_Investigation
DEV00001,OCT1349,OOS_Result,Major,"OOS result: assay_percent = 82.3718 % (LSL:95.0, USL:110.0)",2023-04-11 01:00:00,2023-07-01 01:00:00,1,QA_Invest_2,Environment
DEV00001,OCT1349,OOS_Result,Minor,"OOS result: protein_mg_ml = 2.6613 mg/ml (LSL:7.0, USL:10.0)",2023-04-13 00:00:00,2023-05-31 00:00:00,1,QA_Invest_2,Under_Investigation
DEV00001,OCT1358,OOS_Result,Major,"OOS result: assay_percent = 110.7575 % (LSL:95.0, USL:110.0)",2023-04-13 02:00:00,2023-07-05 02:00:00,1,QA_Manager,Method
DEV00001,OCT1379,OOS_Result,Minor,"OOS result: pH = 7.4514 pH (LSL:6.9, USL:7.4)",2023-04-18 06:00:00,2023-05-15 06:00:00,0,QA_Invest_2,Equipment
DEV00001,OCT1386,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 393.9916 mOsm/kg (LSL:270.0, USL:320.0)",2023-04-22 12:00:00,2023-06-09 12:00:00,1,QA_Manager,Personnel
DEV00001,OCT1387,OOS_Result,Major,"OOS result: protein_mg_ml = 6.82 mg/ml (LSL:7.0, USL:10.0)",2023-04-21 03:00:00,2023-06-16 03:00:00,1,QA_Invest_3,Method
DEV00001,OCT1388,OOS_Result,Minor,"OOS result: assay_percent = 84.2363 % (LSL:95.0, USL:110.0)",2023-04-21 10:00:00,2023-06-08 10:00:00,1,QA_Invest_3,Material
DEV00001,OCT1398,OOS_Result,Major,"OOS result: assay_percent = 84.8947 % (LSL:95.0, USL:110.0)",2023-04-23 04:00:00,2023-06-25 04:00:00,1,QA_Invest_1,Environment
DEV00001,OCT1408,OOS_Result,Critical,"OOS result: fill_volume_ml = 11.1283 ml (LSL:9.5, USL:10.5)",2025-07-18 17:55:35,,1,QA_Invest_2,Under_Investigation
DEV00001,OCT1412,OOS_Result,Major,"OOS result: assay_percent = 94.807 % (LSL:95.0, USL:110.0)",2023-04-28 16:00:00,2023-05-27 16:00:00,1,QA_Manager,Equipment
DEV00001,OCT1412,OOS_Result,Minor,"OOS result: pH = 7.678 pH (LSL:6.9, USL:7.4)",2023-04-30 17:00:00,2023-06-30 17:00:00,0,QA_Manager,Under_Investigation
DEV00001,FIB1413,OOS_Result,Minor,"OOS result: particulates_per_ml = 56.4099 count/ml (LSL:0.0, USL:50.0)",2023-05-02 23:00:00,2023-05-18 23:00:00,0,QA_Manager,Environment
DEV00001,OCT1421,OOS_Result,Minor,"OOS result: assay_percent = 94.1248 % (LSL:95.0, USL:110.0)",2023-05-03 00:00:00,2023-06-29 00:00:00,0,QA_Invest_2,Under_Investigation
DEV00001,OCT1426,OOS_Result,Major,"OOS result: fill_volume_ml = 10.5613 ml (LSL:9.5, USL:10.5)",2023-05-04 00:00:00,2023-06-24 00:00:00,1,QA_Invest_2,Environment
DEV00001,OCT1427,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 238.4837 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-04 03:00:00,2023-05-23 03:00:00,0,MSAT_Lead,Under_Investigation
DEV00001,OCT1431,OOS_Result,Minor,"OOS result: assay_percent = 94.57 % (LSL:95.0, USL:110.0)",2023-05-04 14:00:00,2023-06-07 14:00:00,1,QA_Manager,Environment
DEV00001,OCT1432,OOS_Result,Minor,"OOS result: protein_mg_ml = 6.5093 mg/ml (LSL:7.0, USL:10.0)",2023-05-05 19:00:00,2023-08-03 19:00:00,1,QA_Manager,Environment
DEV00001,FIB1436,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 320.1494 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-06 15:00:00,2023-06-20 15:00:00,0,MSAT_Lead,Method
DEV00001,OCT1439,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 321.1469 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-07 05:00:00,2023-07-10 05:00:00,1,QA_Invest_2,Environment
DEV00001,OCT1440,OOS_Result,Critical,"OOS result: pH = 6.5536 pH (LSL:6.9, USL:7.4)",2023-05-07 06:00:00,2023-06-22 06:00:00,1,QA_Invest_1,Under_Investigation
DEV00001,OCT1444,OOS_Result,Minor,"OOS result: particulates_per_ml = 68.2421 count/ml (LSL:0.0, USL:50.0)",2023-05-07 16:00:00,2023-06-25 16:00:00,1,QA_Invest_1,Equipment
DEV00001,OCT1445,OOS_Result,Critical,"OOS result: osmolality_mOsm_kg = 233.9345 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-11 00:00:00,2023-07-31 00:00:00,1,QA_Invest_1,Under_Investigation
DEV00001,OCT1450,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 264.4463 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-10 12:00:00,2023-06-13 12:00:00,1,QA_Manager,Method
DEV00001,OCT1459,OOS_Result,Minor,"OOS result: osmolality_mOsm_kg = 320.7117 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-14 07:00:00,2023-07-05 07:00:00,0,QA_Invest_1,Under_Investigation
DEV00001,OCT1461,OOS_Result,Critical,"OOS result: protein_mg_ml = 10.0291 mg/ml (LSL:7.0, USL:10.0)",2023-05-14 08:00:00,2023-07-22 08:00:00,1,QA_Invest_3,Material
DEV00001,OCT1462,OOS_Result,Minor,"OOS result: fill_volume_ml = 8.9925 ml (LSL:9.5, USL:10.5)",2023-05-12 11:00:00,2023-07-08 11:00:00,0,MSAT_Lead,Under_Investigation
DEV00001,OCT1463,OOS_Result,Critical,"OOS result: assay_percent = 110.5315 % (LSL:95.0, USL:110.0)",2023-05-14 11:00:00,2023-07-23 11:00:00,1,MSAT_Lead,Environment
DEV00001,FIB1468,OOS_Result,Minor,"OOS result: protein_mg_ml = 6.7781 mg/ml (LSL:7.0, USL:10.0)",2023-05-15 21:00:00,2023-07-02 21:00:00,1,MSAT_Lead,Personnel
DEV00001,OCT1469,OOS_Result,Minor,"OOS result: pH = 7.616 pH (LSL:6.9, USL:7.4)",2023-05-13 17:00:00,2023-06-01 17:00:00,1,QA_Invest_3,Under_Investigation
DEV00001,OCT1469,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 406.3602 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-15 20:00:00,2023-07-08 20:00:00,1,QA_Manager,Environment
DEV00001,OCT1471,OOS_Result,Minor,"OOS result: fill_volume_ml = 9.0589 ml (LSL:9.5, USL:10.5)",2023-05-14 05:00:00,2023-08-01 05:00:00,1,QA_Invest_2,Material
DEV00001,OCT1475,OOS_Result,Critical,"OOS result: fill_volume_ml = 10.7231 ml (LSL:9.5, USL:10.5)",2023-05-15 00:00:00,2023-07-31 00:00:00,1,QA_Invest_2,Environment
DEV00001,OCT1482,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 388.504 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-18 16:00:00,2023-08-11 16:00:00,1,QA_Manager,Under_Investigation
DEV00001,OCT1482,OOS_Result,Major,"OOS result: protein_mg_ml = 10.232 mg/ml (LSL:7.0, USL:10.0)",2023-05-17 23:00:00,2023-07-16 23:00:00,1,QA_Invest_3,Under_Investigation
DEV00001,OCT1483,OOS_Result,Critical,"OOS result: assay_percent = 85.9132 % (LSL:95.0, USL:110.0)",2023-05-18 00:00:00,2023-07-17 00:00:00,1,QA_Manager,Environment
DEV00001,FIB1484,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.078 mg/ml (LSL:7.0, USL:10.0)",2023-05-19 09:00:00,2023-08-06 09:00:00,0,QA_Invest_1,Environment
DEV00001,OCT1485,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 266.5209 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-20 17:00:00,2023-06-23 17:00:00,1,QA_Manager,Method
DEV00001,OCT1487,OOS_Result,Minor,"OOS result: pH = 7.6659 pH (LSL:6.9, USL:7.4)",2023-05-19 11:00:00,2023-08-16 11:00:00,0,QA_Manager,Under_Investigation
DEV00001,OCT1494,OOS_Result,Major,"OOS result: fill_volume_ml = 11.182 ml (LSL:9.5, USL:10.5)",2023-05-20 20:00:00,2023-07-09 20:00:00,1,QA_Manager,Personnel
DEV00001,FIB1497,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 268.0925 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-22 02:00:00,2023-07-10 02:00:00,1,QA_Manager,Material
DEV00001,OCT1499,OOS_Result,Major,"OOS result: osmolality_mOsm_kg = 322.552 mOsm/kg (LSL:270.0, USL:320.0)",2023-05-23 00:00:00,2023-07-08 00:00:00,1,QA_Invest_1,Personnel
DEV00001,FIB1502,OOS_Result,Major,"OOS result: fill_volume_ml = 11.2882 ml (LSL:9.5, USL:10.5)",2023-05-22 09:00:00,2023-08-04 09:00:00,1,QA_Invest_3,Environment
DEV00001,OCT1503,OOS_Result,Critical,"OOS result: protein_mg_ml = 10.1543 mg/ml (LSL:7.0, USL:10.0)",2023-05-23 11:00:00,2023-06-07 11:00:00,1,MSAT_Lead,Material
DEV00001,OCT1504,OOS_Result,Major,"OOS result: fill_volume_ml = 9.1702 ml (LSL:9.5, USL:10.5)",2023-05-23 04:00:00,2023-07-09 04:00:00,1,QA_Manager,Material
DEV00001,OCT1504,OOS_Result,Minor,"OOS result: protein_mg_ml = 10.1767 mg/ml (LSL:7.0, USL:10.0)",2023-05-24 16:00:00,2023-08-02 16:00:00,0,QA_Manager,Personnel
DEV00001,FIB1506,OOS_Result,Minor,"OOS result: protein_mg_ml = 2.7191 mg/ml (LSL:7.0, USL:10.0)",2023-05-25 06:00:00,2023-08-21 06:00:00,1,MSAT_Lead,Method
DEV00001,OCT1507,OOS_Result,Minor,"OOS result: pH = 6.5809 pH (LSL:6.9, USL:7.4)",2023-05-22 19:00:00,2023-06-30 19:00:00,0,QA_Invest_3,Material
