test_id,lot_id,product,line,test_name,sample_date,result_date,review_date,result_value,unit,lsl,usl,oos_flag,reviewer,status,method_id,instrument_id
T0000004,FIB1003,fibryga,Line_C,fill_volume_ml,2023-01-01 15:00:00,2023-01-01 20:00:00,2023-01-02 06:00:00,8.8236,ml,9.5,10.5,1,QC_Senior_1,Reviewed,MFIL_001,INST_05
T0000005,FIB1003,fibryga,Line_C,particulates_per_ml,2023-01-02 11:00:00,2023-01-04 09:00:00,2023-01-05 03:00:00,25.8874,count/ml,0.0,50.0,0,QC_Senior_2,Reviewed,MPAR_001,INST_01
T0000006,FIB1003,fibryga,Line_C,endotoxin_eu_ml,2023-01-02 07:00:00,2023-01-04 06:00:00,2023-01-04 09:00:00,0.0925,EU/ml,0.0,0.5,0,QC_Lead,Reviewed,MEND_001,INST_03
T0000007,FIB1003,fibryga,Line_C,protein_mg_ml,2023-01-01 19:00:00,2023-01-02 08:00:00,2023-01-02 11:00:00,8.8006,mg/ml,7.0,10.0,0,QC_Analyst_B,Reviewed,MPRO_001,INST_04
T0000001,OCT1004,octanate,Line_B,assay_percent,2023-01-02 07:00:00,2023-01-02 09:00:00,2023-01-02 20:00:00,100.8182,%,95.0,110.0,0,QC_Senior_2,Reviewed,MASS_001,INST_01
T0000002,OCT1004,octanate,Line_B,pH,2023-01-02 11:00:00,2023-01-02 14:00:00,2023-01-03 03:00:00,7.1267,pH,6.9,7.4,0,QC_Analyst_A,Reviewed,MPH_001,INST_04
T0000003,OCT1004,octanate,Line_B,osmolality_mOsm_kg,2023-01-02 13:00:00,2023-01-03 15:00:00,2023-01-04 06:00:00,283.4494,mOsm/kg,270.0,320.0,0,QC_Analyst_B,Reviewed,MOSM_001,INST_03
T0000004,OCT1004,octanate,Line_B,fill_volume_ml,2023-01-02 09:00:00,2023-01-02 15:00:00,2023-01-03 07:00:00,10.3278,ml,9.5,10.5,0,QC_Analyst_C,Reviewed,MFIL_001,INST_03
T0000005,OCT1004,octanate,Line_B,particulates_per_ml,2023-01-02 21:00:00,2023-01-04 11:00:00,2023-01-05 11:00:00,24.892,count/ml,0.0,50.0,0,QC_Senior_2,Reviewed,MPAR_001,INST_02
T0000006,OCT1004,octanate,Line_B,endotoxin_eu_ml,2023-01-03 08:00:00,2023-01-04 04:00:00,2023-01-04 07:00:00,0.0971,EU/ml,0.0,0.5,0,QC_Senior_1,Reviewed,MEND_001,INST_05
T0000007,OCT1004,octanate,Line_B,protein_mg_ml,2023-01-03 06:00:00,2023-01-04 11:00:00,2023-01-05 11:00:00,9.158,mg/ml,7.0,10.0,0,QC_Senior_1,Reviewed,MPRO_001,INST_04
T0000001,OCT1005,octanate,Line_C,assay_percent,2023-01-02 08:00:00,2023-01-02 16:00:00,2023-01-03 06:00:00,99.0816,%,95.0,110.0,0,QC_Analyst_C,Reviewed,MASS_001,INST_05
T0000002,OCT1005,octanate,Line_C,pH,2023-01-02 12:00:00,2023-01-02 14:00:00,2023-01-03 02:00:00,6.607,pH,6.9,7.4,1,QC_Lead,Reviewed,MPH_001,INST_01
T0000003,OCT1005,octanate,Line_C,osmolality_mOsm_kg,2023-01-02 16:00:00,2023-01-03 23:00:00,2023-01-04 15:00:00,267.1538,mOsm/kg,270.0,320.0,1,QC_Analyst_A,Reviewed,MOSM_001,INST_04
T0000004,OCT1005,octanate,Line_C,fill_volume_ml,2023-01-02 14:00:00,2023-01-02 19:00:00,2023-01-02 21:00:00,9.8508,ml,9.5,10.5,0,QC_Senior_1,Reviewed,MFIL_001,INST_04
T0000005,OCT1005,octanate,Line_C,particulates_per_ml,2023-01-03 00:00:00,2023-01-03 23:00:00,2023-01-04 13:00:00,26.5749,count/ml,0.0,50.0,0,QC_Analyst_B,Reviewed,MPAR_001,INST_01
T0000006,OCT1005,octanate,Line_C,endotoxin_eu_ml,2023-01-03 08:00:00,2023-01-05 08:00:00,2023-01-05 22:00:00,0.0,EU/ml,0.0,0.5,0,QC_Analyst_A,Reviewed,MEND_001,INST_05
T0000007,OCT1005,octanate,Line_C,protein_mg_ml,2023-01-02 13:00:00,2023-01-04 10:00:00,2023-01-04 14:00:00,8.6371,mg/ml,7.0,10.0,0,QC_Lead,Reviewed,MPRO_001,INST_01
T0000001,OCT1006,octanate_LV,Line_A,assay_percent,2023-01-02 08:00:00,2023-01-02 12:00:00,2023-01-02 17:00:00,88.0385,%,95.0,110.0,1,QC_Lead,Reviewed,MASS_001,INST_04
T0000002,OCT1006,octanate_LV,Line_A,pH,2023-01-02 18:00:00,2023-01-02 22:00:00,2023-01-03 17:00:00,7.1259,pH,6.9,7.4,0,QC_Analyst_B,Reviewed,MPH_001,INST_05
T0000003,OCT1006,octanate_LV,Line_A,osmolality_mOsm_kg,2023-01-03 08:00:00,2023-01-04 03:00:00,2023-01-04 16:00:00,272.9276,mOsm/kg,270.0,320.0,0,QC_Senior_2,Reviewed,MOSM_001,INST_02
T0000004,OCT1006,octanate_LV,Line_A,fill_volume_ml,2023-01-02 13:00:00,2023-01-02 17:00:00,2023-01-03 09:00:00,9.942,ml,9.5,10.5,0,QC_Analyst_C,Reviewed,MFIL_001,INST_05
T0000005,OCT1006,octanate_LV,Line_A,particulates_per_ml,2023-01-02 16:00:00,2023-01-03 02:00:00,2023-01-03 13:00:00,21.3149,count/ml,0.0,50.0,0,QC_Senior_2,Reviewed,MPAR_001,INST_03
T0000006,OCT1006,octanate_LV,Line_A,endotoxin_eu_ml,2023-01-02 22:00:00,2023-01-03 20:00:00,2023-01-04 13:00:00,0.2029,EU/ml,0.0,0.5,0,QC_Lead,Reviewed,MEND_001,INST_05
T0000007,OCT1006,octanate_LV,Line_A,protein_mg_ml,2023-01-03 07:00:00,2023-01-04 15:00:00,2023-01-05 03:00:00,8.7749,mg/ml,7.0,10.0,0,QC_Analyst_C,Reviewed,MPRO_001,INST_03
T0000001,OCT1007,octanate_LV,Line_B,assay_percent,2023-01-02 18:00:00,2023-01-02 22:00:00,2023-01-03 11:00:00,97.5635,%,95.0,110.0,0,QC_Analyst_B,Reviewed,MASS_001,INST_05
T0000002,OCT1007,octanate_LV,Line_B,pH,2023-01-02 18:00:00,2023-01-03 01:00:00,2023-01-03 13:00:00,7.1759,pH,6.9,7.4,0,QC_Senior_1,Reviewed,MPH_001,INST_04
T0000003,OCT1007,octanate_LV,Line_B,osmolality_mOsm_kg,2023-01-03 00:00:00,2023-01-03 08:00:00,2023-01-03 16:00:00,286.0489,mOsm/kg,270.0,320.0,0,QC_Senior_1,Reviewed,MOSM_001,INST_03
T0000004,OCT1007,octanate_LV,Line_B,fill_volume_ml,2023-01-02 14:00:00,2023-01-02 19:00:00,2023-01-02 20:00:00,9.9485,ml,9.5,10.5,0,QC_Lead,Reviewed,MFIL_001,INST_04
T0000005,OCT1007,octanate_LV,Line_B,particulates_per_ml,2023-01-03 00:00:00,2023-01-03 09:00:00,2023-01-03 14:00:00,29.8934,count/ml,0.0,50.0,0,QC_Analyst_A,Reviewed,MPAR_001,INST_03
T0000006,OCT1007,octanate_LV,Line_B,endotoxin_eu_ml,2023-01-02 12:00:00,2023-01-03 00:00:00,2023-01-03 12:00:00,0.2015,EU/ml,0.0,0.5,0,QC_Analyst_A,Reviewed,MEND_001,INST_01
T0000007,OCT1007,octanate_LV,Line_B,protein_mg_ml,2023-01-03 01:00:00,2023-01-04 16:00:00,2023-01-04 20:00:00,9.245,mg/ml,7.0,10.0,0,QC_Senior_2,Reviewed,MPRO_001,INST_01
T0000001,OCT1008,octanate_LV,Line_C,assay_percent,2023-01-02 11:00:00,2023-01-02 14:00:00,2023-01-02 20:00:00,100.1502,%,95.0,110.0,0,QC_Analyst_A,Reviewed,MASS_001,INST_05
T0000002,OCT1008,octanate_LV,Line_C,pH,2023-01-02 11:00:00,2023-01-02 15:00:00,2023-01-03 06:00:00,7.1253,pH,6.9,7.4,0,QC_Senior_1,Under_Review,MPH_001,INST_03
T0000003,OCT1008,octanate_LV,Line_C,osmolality_mOsm_kg,2023-01-02 18:00:00,2023-01-03 08:00:00,2023-01-04 06:00:00,294.645,mOsm/kg,270.0,320.0,0,QC_Senior_1,Reviewed,MOSM_001,INST_03
T0000004,OCT1008,octanate_LV,Line_C,fill_volume_ml,2023-01-02 17:00:00,2023-01-02 22:00:00,2023-01-03 02:00:00,10.1963,ml,9.5,10.5,0,QC_Lead,Reviewed,MFIL_001,INST_05
T0000005,OCT1008,octanate_LV,Line_C,particulates_per_ml,2023-01-03 05:00:00,2023-01-04 14:00:00,2023-01-05 04:00:00,21.1666,count/ml,0.0,50.0,0,QC_Lead,Reviewed,MPAR_001,INST_02
T0000006,OCT1008,octanate_LV,Line_C,endotoxin_eu_ml,2023-01-03 01:00:00,2023-01-04 06:00:00,2023-01-04 19:00:00,0.1407,EU/ml,0.0,0.5,0,QC_Analyst_B,Reviewed,MEND_001,INST_05
T0000007,OCT1008,octanate_LV,Line_C,protein_mg_ml,2023-01-03 03:00:00,2023-01-04 03:00:00,2023-01-05 00:00:00,7.6149,mg/ml,7.0,10.0,0,QC_Senior_2,Under_Review,MPRO_001,INST_03
T0000001,OCT1009,octanate,Line_A,assay_percent,2023-01-03 16:00:00,2023-01-03 21:00:00,2023-01-03 23:00:00,99.1506,%,95.0,110.0,0,QC_Analyst_B,Under_Review,MASS_001,INST_04
T0000002,OCT1009,octanate,Line_A,pH,2023-01-03 13:00:00,2023-01-03 21:00:00,2023-01-04 21:00:00,7.215,pH,6.9,7.4,0,QC_Analyst_A,Reviewed,MPH_001,INST_01
T0000003,OCT1009,octanate,Line_A,osmolality_mOsm_kg,2023-01-04 06:00:00,2023-01-05 01:00:00,2023-01-05 07:00:00,306.9448,mOsm/kg,270.0,320.0,0,QC_Senior_1,Reviewed,MOSM_001,INST_02
T0000004,OCT1009,octanate,Line_A,fill_volume_ml,2023-01-03 08:00:00,2023-01-03 15:00:00,2023-01-04 14:00:00,10.0392,ml,9.5,10.5,0,QC_Lead,Reviewed,MFIL_001,INST_05
T0000005,OCT1009,octanate,Line_A,particulates_per_ml,2023-01-04 00:00:00,2023-01-05 02:00:00,2023-01-05 11:00:00,33.0283,count/ml,0.0,50.0,0,QC_Analyst_B,Reviewed,MPAR_001,INST_02
T0000006,OCT1009,octanate,Line_A,endotoxin_eu_ml,2023-01-04 00:00:00,2023-01-05 13:00:00,2023-01-06 02:00:00,0.1681,EU/ml,0.0,0.5,0,QC_Analyst_B,Reviewed,MEND_001,INST_04
T0000007,OCT1009,octanate,Line_A,protein_mg_ml,2023-01-04 03:00:00,2023-01-05 02:00:00,2023-01-05 22:00:00,7.9839,mg/ml,7.0,10.0,0,QC_Lead,Reviewed,MPRO_001,INST_03
T0000001,OCT1010,octanate,Line_B,assay_percent,2023-01-03 16:00:00,2023-01-03 19:00:00,2023-01-03 21:00:00,103.5119,%,95.0,110.0,0,QC_Lead,Reviewed,MASS_001,INST_05
T0000002,OCT1010,octanate,Line_B,pH,2023-01-03 07:00:00,2023-01-03 11:00:00,2023-01-04 10:00:00,7.273,pH,6.9,7.4,0,QC_Senior_2,Reviewed,MPH_001,INST_02
T0000003,OCT1010,octanate,Line_B,osmolality_mOsm_kg,2023-01-04 04:00:00,2023-01-05 05:00:00,2023-01-05 15:00:00,290.24,mOsm/kg,270.0,320.0,0,QC_Senior_1,Reviewed,MOSM_001,INST_05
T0000004,OCT1010,octanate,Line_B,fill_volume_ml,2023-01-03 15:00:00,2023-01-03 21:00:00,2023-01-04 02:00:00,11.2883,ml,9.5,10.5,1,QC_Analyst_C,Reviewed,MFIL_001,INST_03
T0000005,OCT1010,octanate,Line_B,particulates_per_ml,2023-01-03 20:00:00,2023-01-05 01:00:00,2023-01-05 06:00:00,4.042,count/ml,0.0,50.0,0,QC_Senior_1,Reviewed,MPAR_001,INST_05
T0000006,OCT1010,octanate,Line_B,endotoxin_eu_ml,2023-01-04 10:00:00,2023-01-06 08:00:00,2023-01-07 04:00:00,0.1911,EU/ml,0.0,0.5,0,QC_Analyst_B,Reviewed,MEND_001,INST_01
T0000007,OCT1010,octanate,Line_B,protein_mg_ml,2023-01-04 10:00:00,2023-01-05 19:00:00,2023-01-06 05:00:00,8.5696,mg/ml,7.0,10.0,0,QC_Analyst_B,Reviewed,MPRO_001,INST_04
T0000001,OCT1011,octanate_LV,Line_B,assay_percent,2023-01-03 16:00:00,2023-01-03 23:00:00,2023-01-04 04:00:00,101.6628,%,95.0,110.0,0,QC_Senior_1,Reviewed,MASS_001,INST_04
T0000002,OCT1011,octanate_LV,Line_B,pH,2023-01-03 09:00:00,2023-01-03 12:00:00,2023-01-03 15:00:00,7.1573,pH,6.9,7.4,0,QC_Lead,Under_Review,MPH_001,INST_04
T0000003,OCT1011,octanate_LV,Line_B,osmolality_mOsm_kg,2023-01-04 00:00:00,2023-01-05 03:00:00,2023-01-06 03:00:00,266.819,mOsm/kg,270.0,320.0,1,QC_Senior_1,Reviewed,MOSM_001,INST_05
T0000004,OCT1011,octanate_LV,Line_B,fill_volume_ml,2023-01-03 11:00:00,2023-01-03 13:00:00,2023-01-03 21:00:00,10.017,ml,9.5,10.5,0,QC_Senior_2,Reviewed,MFIL_001,INST_05
T0000005,OCT1011,octanate_LV,Line_B,particulates_per_ml,2023-01-04 04:00:00,2023-01-05 07:00:00,2023-01-05 12:00:00,27.8569,count/ml,0.0,50.0,0,QC_Analyst_A,Reviewed,MPAR_001,INST_03
T0000006,OCT1011,octanate_LV,Line_B,endotoxin_eu_ml,2023-01-04 11:00:00,2023-01-04 22:00:00,2023-01-05 03:00:00,0.2239,EU/ml,0.0,0.5,0,QC_Lead,Reviewed,MEND_001,INST_04
T0000007,OCT1011,octanate_LV,Line_B,protein_mg_ml,2023-01-04 03:00:00,2023-01-05 10:00:00,2023-01-06 03:00:00,8.0854,mg/ml,7.0,10.0,0,QC_Analyst_B,Reviewed,MPRO_001,INST_01
T0000001,OCT1012,octanate_LV,Line_C,assay_percent,2023-01-03 12:00:00,2023-01-03 20:00:00,2023-01-04 02:00:00,111.8843,%,95.0,110.0,1,QC_Analyst_B,Reviewed,MASS_001,INST_03
T0000002,OCT1012,octanate_LV,Line_C,pH,2023-01-03 16:00:00,2023-01-04 00:00:00,2023-01-04 13:00:00,7.1099,pH,6.9,7.4,0,QC_Senior_1,Reviewed,MPH_001,INST_03
T0000003,OCT1012,octanate_LV,Line_C,osmolality_mOsm_kg,2023-01-04 06:00:00,2023-01-05 18:00:00,2023-01-06 03:00:00,301.6547,mOsm/kg,270.0,320.0,0,QC_Senior_2,Reviewed,MOSM_001,INST_05
T0000004,OCT1012,octanate_LV,Line_C,fill_volume_ml,2023-01-03 09:00:00,2023-01-03 15:00:00,2023-01-04 14:00:00,10.0993,ml,9.5,10.5,0,QC_Lead,Reviewed,MFIL_001,INST_05
T0000005,OCT1012,octanate_LV,Line_C,particulates_per_ml,2023-01-04 10:00:00,2023-01-05 11:00:00,2023-01-06 07:00:00,20.7619,count/ml,0.0,50.0,0,QC_Lead,Reviewed,MPAR_001,INST_01
T0000006,OCT1012,octanate_LV,Line_C,endotoxin_eu_ml,2023-01-04 06:00:00,2023-01-06 05:00:00,2023-01-06 16:00:00,0.0,EU/ml,0.0,0.5,0,QC_Analyst_B,Reviewed,MEND_001,INST_04
T0000007,OCT1012,octanate_LV,Line_C,protein_mg_ml,2023-01-03 21:00:00,2023-01-04 18:00:00,2023-01-04 23:00:00,8.5777,mg/ml,7.0,10.0,0,QC_Senior_2,Reviewed,MPRO_001,INST_04
T0000001,FIB1013,fibryga,Line_B,assay_percent,2023-01-03 07:00:00,2023-01-03 10:00:00,2023-01-03 14:00:00,105.2122,%,95.0,110.0,0,QC_Senior_2,Reviewed,MASS_001,INST_05
T0000002,FIB1013,fibryga,Line_B,pH,2023-01-03 18:00:00,2023-01-04 01:00:00,2023-01-04 04:00:00,7.0938,pH,6.9,7.4,0,QC_Analyst_C,Reviewed,MPH_001,INST_05
T0000003,FIB1013,fibryga,Line_B,osmolality_mOsm_kg,2023-01-03 22:00:00,2023-01-04 20:00:00,2023-01-05 05:00:00,286.7379,mOsm/kg,270.0,320.0,0,QC_Analyst_B,Reviewed,MOSM_001,INST_04
T0000004,FIB1013,fibryga,Line_B,fill_volume_ml,2023-01-03 17:00:00,2023-01-04 00:00:00,2023-01-04 06:00:00,9.9912,ml,9.5,10.5,0,QC_Senior_2,Under_Review,MFIL_001,INST_03
T0000005,FIB1013,fibryga,Line_B,particulates_per_ml,2023-01-04 03:00:00,2023-01-05 06:00:00,2023-01-05 12:00:00,13.2919,count/ml,0.0,50.0,0,QC_Analyst_B,Reviewed,MPAR_001,INST_04
T0000006,FIB1013,fibryga,Line_B,endotoxin_eu_ml,2023-01-04 11:00:00,2023-01-06 03:00:00,2023-01-07 02:00:00,0.1648,EU/ml,0.0,0.5,0,QC_Senior_2,Reviewed,MEND_001,INST_02
T0000007,FIB1013,fibryga,Line_B,protein_mg_ml,2023-01-03 18:00:00,2023-01-05 06:00:00,2023-01-05 23:00:00,8.7088,mg/ml,7.0,10.0,0,QC_Analyst_A,Reviewed,MPRO_001,INST_05
T0000001,OCT1014,octanate,Line_A,assay_percent,2023-01-04 10:00:00,2023-01-04 12:00:00,2023-01-05 01:00:00,102.5143,%,95.0,110.0,0,QC_Senior_1,Reviewed,MASS_001,INST_02
T0000002,OCT1014,octanate,Line_A,pH,2023-01-04 17:00:00,2023-01-05 00:00:00,2023-01-05 09:00:00,7.1312,pH,6.9,7.4,0,QC_Analyst_C,Reviewed,MPH_001,INST_05
T0000003,OCT1014,octanate,Line_A,osmolality_mOsm_kg,2023-01-05 07:00:00,2023-01-07 01:00:00,2023-01-07 10:00:00,273.6854,mOsm/kg,270.0,320.0,0,QC_Analyst_C,Reviewed,MOSM_001,INST_04
T0000004,OCT1014,octanate,Line_A,fill_volume_ml,2023-01-04 15:00:00,2023-01-04 19:00:00,2023-01-05 14:00:00,9.9869,ml,9.5,10.5,0,QC_Lead,Reviewed,MFIL_001,INST_01
T0000005,OCT1014,octanate,Line_A,particulates_per_ml,2023-01-05 07:00:00,2023-01-06 19:00:00,2023-01-07 00:00:00,22.2583,count/ml,0.0,50.0,0,QC_Analyst_A,Reviewed,MPAR_001,INST_01
T0000006,OCT1014,octanate,Line_A,endotoxin_eu_ml,2023-01-05 06:00:00,2023-01-05 23:00:00,2023-01-06 13:00:00,0.1099,EU/ml,0.0,0.5,0,QC_Analyst_A,Reviewed,MEND_001,INST_03
T0000007,OCT1014,octanate,Line_A,protein_mg_ml,2023-01-04 23:00:00,2023-01-06 03:00:00,2023-01-07 03:00:00,8.371,mg/ml,7.0,10.0,0,QC_Analyst_C,Reviewed,MPRO_001,INST_05
T0000001,FIB1015,fibryga,Line_A,assay_percent,2023-01-04 12:00:00,2023-01-04 16:00:00,2023-01-05 03:00:00,103.6313,%,95.0,110.0,0,QC_Analyst_C,Reviewed,MASS_001,INST_03
T0000002,FIB1015,fibryga,Line_A,pH,2023-01-04 07:00:00,2023-01-04 10:00:00,2023-01-04 19:00:00,7.3009,pH,6.9,7.4,0,QC_Analyst_A,Reviewed,MPH_001,INST_05
T0000003,FIB1015,fibryga,Line_A,osmolality_mOsm_kg,2023-01-05 02:00:00,2023-01-06 07:00:00,2023-01-07 00:00:00,292.7648,mOsm/kg,270.0,320.0,0,QC_Senior_2,Reviewed,MOSM_001,INST_03
T0000004,FIB1015,fibryga,Line_A,fill_volume_ml,2023-01-04 16:00:00,2023-01-04 18:00:00,2023-01-05 06:00:00,10.0886,ml,9.5,10.5,0,QC_Analyst_C,Reviewed,MFIL_001,INST_02
T0000005,FIB1015,fibryga,Line_A,particulates_per_ml,2023-01-04 17:00:00,2023-01-05 17:00:00,2023-01-06 03:00:00,24.4044,count/ml,0.0,50.0,0,QC_Senior_2,Reviewed,MPAR_001,INST_03
T0000006,FIB1015,fibryga,Line_A,endotoxin_eu_ml,2023-01-04 12:00:00,2023-01-05 05:00:00,2023-01-05 12:00:00,0.0541,EU/ml,0.0,0.5,0,QC_Senior_2,Under_Review,MEND_001,INST_01
T0000007,FIB1015,fibryga,Line_A,protein_mg_ml,2023-01-05 04:00:00,2023-01-06 02:00:00,2023-01-06 13:00:00,8.4788,mg/ml,7.0,10.0,0,QC_Lead,Reviewed,MPRO_001,INST_01
T0000001,FIB1016,fibryga,Line_C,assay_percent,2023-01-04 09:00:00,2023-01-04 14:00:00,2023-01-04 21:00:00,102.6686,%,95.0,110.0,0,QC_Senior_2,Reviewed,MASS_001,INST_03
T0000002,FIB1016,fibryga,Line_C,pH,2023-01-04 08:00:00,2023-01-04 11:00:00,2023-01-05 04:00:00,7.3471,pH,6.9,7.4,0,QC_Analyst_A,Reviewed,MPH_001,INST_03
T0000003,FIB1016,fibryga,Line_C,osmolality_mOsm_kg,2023-01-05 11:00:00,2023-01-05 22:00:00,2023-01-06 16:00:00,288.3615,mOsm/kg,270.0,320.0,0,QC_Analyst_A,Under_Review,MOSM_001,INST_03
T0000004,FIB1016,fibryga,Line_C,fill_volume_ml,2023-01-04 17:00:00,2023-01-04 19:00:00,2023-01-05 02:00:00,10.0952,ml,9.5,10.5,0,QC_Senior_2,Reviewed,MFIL_001,INST_01
T0000005,FIB1016,fibryga,Line_C,particulates_per_ml,2023-01-05 07:00:00,2023-01-06 21:00:00,2023-01-07 17:00:00,24.7223,count/ml,0.0,50.0,0,QC_Senior_2,Reviewed,MPAR_001,INST_02
T0000006,FIB1016,fibryga,Line_C,endotoxin_eu_ml,2023-01-04 20:00:00,2023-01-06 01:00:00,2023-01-06 06:00:00,0.0916,EU/ml,0.0,0.5,0,QC_Analyst_C,Reviewed,MEND_001,INST_03
T0000007,FIB1016,fibryga,Line_C,protein_mg_ml,2023-01-05 04:00:00,2023-01-05 12:00:00,2023-01-05 22:00:00,9.4143,mg/ml,7.0,10.0,0,QC_Analyst_B,Reviewed,MPRO_001,INST_04
T0000001,OCT1017,octanate,Line_A,assay_percent,2023-01-05 18:00:00,2023-01-06 01:00:00,2023-01-06 17:00:00,104.6054,%,95.0,110.0,0,QC_Senior_2,Under_Review,MASS_001,INST_01
